	id	price	surface	country	index
227	01G6N8X79TA8QKA73CXTDZS7Z5	1100.0	288.0	Belgium	3.8194444444444446
228	01G6N8WJCQRYNVB42EVCKKECCG	540.03	31.0	Austria	17.42032258064516
229	01G6N8WGF53H3H3NRWJ1KASWCC	430.0	46.0	France	9.347826086956522
230	01G6N8WQN9TYVVQTDBTS744MPE	35000.0	459.0	Portugal	76.25272331154684
231	01G6N8WW2J7A5FFF58J1Q2K2D9	1029.0	200.0	Poland	5.145
233	01G6N8X81ZN54M8V7D8Z3S9WFM	1100.0	100.0	Belgium	11.0
234	01G6N8WWA4HB6EKF7C359S2QNM	630.0	56.0	Poland	11.25
235	01G6N8WN4KAEXFZ3RD77Q7QQJB	1380.0	74.0	Switzerland	18.64864864864865
236	01G6N8X2THKZ46VFRA8AP4C2Z2	64.0	68.0	Republic	0.9411764705882353
237	01G6N8X2G5YZPXSDZ5S6T9X2AZ	880.0	74.0	Republic	11.891891891891891
238	01G6N8WSY5E5PF0EWCSYEH8REP	1333.15	65.0	Denmark	20.51
240	01G6N8X5T2WZ3WTTSF874EZCM1	425.0	28.0	Hungary	15.178571428571429
242	01G6N8WZCNH8R3Z07NEYHBP635	910.8	42.0	Sweden	21.685714285714283
244	01G6N8X84HCVF8MG9CRGX0CY3T	710.0	132.0	Belgium	5.378787878787879
245	01G6N8WMJSCRKHVPMFPSAZ0T8Z	719.52	41.0	Austria	17.549268292682925
246	01G6N8WE7NE38YYF5V3B3ZPTVD	15.0	61.0	Spain	0.2459016393442623
247	01G6N8XCEY65ZV9SE1S8N0REP7	292.2	50.0	Romania	5.843999999999999
249	01G6N8X2GM0PCZDTS9AZFEQ80X	600.0	50.0	Republic	12.0
250	01G6N8WJN1J7J6ZW2GZ45131PX	648.92	58.0	Austria	11.188275862068965
251	01G6N8X32XZXNS2BR385V87333	440.0	28.0	Republic	15.714285714285714
252	01G6N8WEDBC06R4H9T6C230FVN	1000.0	61.0	Spain	16.39344262295082
253	01G6N8X3NVZJPTH6HJ2GV7314H	800.0	68.0	Republic	11.764705882352942
254	01G6N8WTK8SD32Q2E14YMZWET9	1176.5	76.0	Denmark	15.480263157894736
255	01G6N8WVR6Y5HD5JTZ2BY3R5QP	5200.0	155.0	Denmark	33.54838709677419
257	01G6N8WQTSAM09BA0DBSCQYRZ5	1500.0	68.0	Portugal	22.058823529411764
258	01G6N8WWHHJ2JDX2H9HYEMH15W	2310.0	350.0	Poland	6.6
259	01G6N8WX3SM2ME1T7R574Z1MC2	672.0	51.0	Poland	13.176470588235293
261	01G6N8WBV350F3FGF966G9ZYA6	5000.0	200.0	Italy	25.0
262	01G6N8WZKC1EDBJ7CHSAB92W6H	781.74	56.0	Sweden	13.959642857142857
264	01G6N8WG1S00BVB5HP3D5JJWK2	400.0	41.0	France	9.75609756097561
265	01G6N8WE1NTTRF6NXEX8YS6QQC	675.0	85.0	Spain	7.9411764705882355
266	01G6N8WFEM9BRZ21KX6SMKEHTH	376.0	31.0	France	12.129032258064516
268	01G6N8WYJ5DKNXWQHNQKC9G832	1080.0	33.0	Sweden	32.72727272727273
269	01G6N8WYRA80Y8AP73N8KDV45K	495.0	25.0	Sweden	19.8
270	01G6N8XE14Y63Y3C6EW07GXHJN	350.0	48.0	Estonia	7.291666666666667
271	01G6N8X7PJ03PN8SZMH1XDWRKB	1250.0	90.0	Belgium	13.88888888888889
273	01G6N8X29C6F90JPNQZDDDVPM3	633.0	46.0	Finland	13.76086956521739
274	01G6N8X4FCEMRK1C47PCZNBQ2H	300.0	53.0	Hungary	5.660377358490566
275	01G6N8XBT2VTZ24F4WRAXBV60S	340.90000000000003	85.0	Romania	4.010588235294118
276	01G6N8WGHJNM1J6FWWEHR7C2AN	490.0	20.0	France	24.5
277	01G6N8WGAVKEB3J9KPWXCQT7C1	1150.0	69.0	France	16.666666666666668
278	01G6N8WC4T98W9MZ5MA28Y60BE	950.0	60.0	Italy	15.833333333333334
279	01G6N8WSCT8R3TSXQBZ5ET7YHV	1750.0	90.0	Netherlands	19.444444444444443
280	01G6N8X6SR4S43PX22BNPJZDQJ	1250.0	26.0	Luxembourg	48.07692307692308
281	01G6N8WKYX5B4YF4SQY5BENHJC	684.44	133.0	Austria	5.146165413533835
282	01G6N8WHWMJ0WRC48WJQ8KA90Q	714.26	38.0	Austria	18.796315789473685
283	01G6N8WQ1N1BKQR4Y3HMVA5QMW	750.0	52.0	Portugal	14.423076923076923
285	01G6N8XCQZ7YWGYA7S3P3010XF	105.0	49.0	Romania	2.142857142857143
286	01G6N8X1ZNVGC1ZKDTMHP5MA75	925.0	78.0	Finland	11.85897435897436
287	01G6N8X1JMPAJXNW083BSKCPAH	670.0	60.0	Finland	11.166666666666666
288	01G6N8WXCD8VYM924N905SN7VN	1635.06	29.0	Poland	56.381379310344826
289	01G6N8WXE3AARQ510K5G6RYNF6	882.0	73.0	Poland	12.082191780821917
290	01G6N8WW4CGCB8GMMQ6130M3VH	693.0	44.0	Poland	15.75
291	01G6N8X0PS2ECHD2VJ04NNT37C	943.0	73.0	Finland	12.917808219178083
292	01G6N8X37HQ6VH54F3P539KVRD	268.0	38.0	Republic	7.052631578947368
296	01G6N8WFZM0WJP52GRYS54VXFE	492.0	25.0	France	19.68
297	01G6N8WXWQK79HVEGRQXF262JX	700.0	44.0	Greece	15.909090909090908
298	01G6N8WTFVDWQMP3ZAYQSXD5HW	3029.0	165.0	Denmark	18.35757575757576
299	01G6N8WBBG6FXJEQZ53S5RF549	700.0	80.0	Italy	8.75
300	01G6N8WFX3CZRQS2E754Y423MN	390.0	21.0	France	18.571428571428573
301	01G6N8X86FG0RZMMASRNGBJ7EH	625.0	120.0	Belgium	5.208333333333333
302	01G6N8WBGBSTC452Y1S4590ABN	1500.0	100.0	Italy	15.0
304	01G6N8WMKEXY8KDXQSD8RHAEQX	919.9	59.0	Austria	15.591525423728813
305	01G6N8WZ6DBC5XZ58QAE0M1ZFR	1449.0	34.0	Sweden	42.61764705882353
306	01G6N8X4ZT16D08FR2QGX5GK50	625.0	80.0	Hungary	7.8125
307	01G6N8WNH936VN230139C13SVT	1750.0	65.0	Switzerland	26.923076923076923
308	01G6N8WCKAVXPCM68PTTVKMMN3	700.0	100.0	Italy	7.0
309	01G6N8WW3E4HWR8HR9RFBCJAKT	588.0	42.0	Poland	14.0
310	01G6N8WWACKMG2HPV50YRQMM37	525.0	48.0	Poland	10.9375
311	01G6N8X5B23PZ58DMR2RWHTDMH	600.0	73.0	Hungary	8.219178082191782
312	01G6N8WYGGVFAW65V6RE36V2VR	1190.25	34.0	Sweden	35.00735294117647
314	01G6N8WFS5B7W199WFKYMXMQQ2	800.0	84.0	France	9.523809523809524
315	01G6N8WYNYMETAWYG7FASE51TC	360.18	14.0	Sweden	25.72714285714286
316	01G6N8WW897QK58DWNTPFW8S1Z	619.5	53.0	Poland	11.68867924528302
